sum.taxonomy,K0512_L7,K0514_B2,K0514_E4,K0514_L7,K0515_G5,K0515_K6,K0515_L7,K0572_B2,K0611_K6,K0613_A1,K0613_B2,K0613_K6,K0613_M8,K0614_G5,K0614_T9,K0615_L7,K0616_B2,K0616_C3,K0616_G5,K0616_K6,K0617_B2,K0617_C3,K0617_E4,K0617_L7,K0618_G5,K0619_E4,K0619_M8,K0619_T9,K0712_A1,K0712_B2,K0712_K6,K0713_C3,K0714_T9,K0715_A1,K0716_B2,K0717_C3,K0717_K6,K0718_A1,K0718_B2,K0719_G5,K0719_K6,K0720_L7,K0757_A1,K0759_E4,K0773_A1,K0774_M8,K0777_G5,K0778_A1,K0779_E4,K0779_K6,K0779_T9,K0792_C3,K0832_K6,K0835_A1,K0836_G5,K0838_B2,K0713_G5
Abditibacteriota;Abditibacteria;Abditibacteriales;Abitibacteriaceae;Abditibacterium;Abditibacterium utsteinense,61,5,0,0,25,0,0,41,0,0,0,0,0,0,3,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,8,0,0,14,0,5,3,3,28,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0
Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;bacterium Ellin5227,0,0,0,0,0,0,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,24,0,2,1,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;bacterium Ellin6074,0,0,0,0,0,0,0,0,0,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,54,0,0,4,0,0
Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;bacterium Ellin6075,11,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,27,0,0,0,0,0,0,16,16,0,0,0,0,7,58,0,8,0,0,0,11,34,0,0,44,0,0,6,0,0,0,0,0,0
Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Telmatobacter;,0,0,0,0,0,0,0,0,79,54,6,0,0,18,0,0,5,0,14,0,0,11,0,0,241,2,8,35,0,0,0,0,24,0,0,0,0,0,0,0,390,0,7,0,0,364,0,0,0,0,0,189,0,0,8,0,0
Acidobacteria;Acidobacteriia;Bryobacterales;Bryobacteraceae;Bryobacter;Bryobacter aggregatus,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,5,0,10,0,0,0,0,5,0,0,0,0,0,0,7,0,7,0,18,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0
Acidobacteria;Acidobacteriia;Bryobacterales;Bryobacteraceae;NA;,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,15,0
Acidobacteria;Acidobacteriia;Bryobacterales;Bryobacteraceae;Paludibaculum;,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0
Acidobacteria;Acidobacteriia;Bryobacterales;Bryobacteraceae;Paludibaculum;Paludibaculum fermentans,0,0,0,0,0,0,0,0,0,30,0,16,35,20,0,1,0,7,22,8,32,0,14,4,0,0,10,15,0,0,0,0,23,0,0,0,0,34,12,0,23,0,21,0,0,15,0,0,0,6,78,23,0,0,6,0,0
Acidobacteria;Acidobacteriia;Bryobacterales;Bryobacteraceae;Paludibaculum;Paludibaculum sp.,0,24,0,10,0,0,8,0,0,0,0,0,10,0,0,0,2,0,8,0,22,0,19,0,0,0,0,0,2,0,18,0,0,0,14,0,11,31,5,0,0,1,1,0,0,0,0,0,7,1,0,1,0,0,15,1,0
Acidobacteria;Acidobacteriia;Bryobacterales;NA;;,0,10,0,0,16,0,18,37,0,0,5,0,6,0,0,0,0,1,16,5,0,15,0,0,0,8,0,0,1,8,0,0,0,0,0,0,6,9,18,2,0,0,0,0,0,0,0,36,0,0,13,0,6,0,4,14,0
Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;Candidatus Solibacter;Candidatus Solibacter usitatus,40,0,0,0,19,0,0,148,5,7,18,0,11,42,0,10,0,4,15,17,4,0,3,0,12,0,24,3,3,0,4,0,18,13,5,13,5,25,23,133,3,0,24,15,14,5,1,8,2,8,18,1,32,0,14,0,0
Acidobacteria;Acidobacteriia;NA;;NA;,74,54,0,4,78,0,43,83,61,88,36,8,34,183,0,91,26,83,562,36,264,67,74,9,135,14,60,157,1,3,31,36,76,8,46,75,11,70,146,60,232,44,26,143,44,94,59,36,22,54,103,343,148,0,32,19,0
Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella;Blastocatella fastidiosa,0,6,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae;NA;,116,79,0,4,272,25,0,2,0,0,4,0,26,6,0,155,0,509,0,60,18,0,14,55,0,0,0,2,61,0,50,14,14,8,99,18,80,28,112,24,0,31,0,1,17,9,1,0,0,0,0,3,328,0,0,6,0
Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;,20,0,0,0,32,0,12,26,2,0,1,1,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,4,1,5,5,0,0,2,0,0,0,0,5,14,0,5,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0
Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;Stenotrophobacter terrae,0,165,0,0,11,0,35,0,0,0,0,0,15,18,0,8,0,0,0,151,627,0,24,82,0,0,5,46,0,0,17,0,3,70,154,19,69,103,199,12,13,0,3,0,209,10,0,0,0,0,11,3,95,0,0,0,0
Acidobacteria;Blastocatellia;Blastocatellales;NA;;,0,36,0,29,0,0,13,0,0,0,0,42,20,2,0,0,0,0,0,7,40,0,15,41,0,10,0,6,0,0,14,0,8,0,46,90,16,12,29,0,4,0,0,0,429,12,0,0,0,4,8,0,9,0,0,74,0
Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum,152,0,0,0,0,0,23,0,12,9,11,0,0,0,0,0,0,0,2,4,10,8,0,0,0,0,0,4,0,0,7,0,0,17,0,8,7,99,5,31,0,0,19,0,1,0,0,35,48,0,38,0,5,0,32,0,0
Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae;Brevitalea;,13,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,12,0,12,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae;NA;,6,36,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,13,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,3,21,12,66,0,0,0,0,0,32,0,0,0,4,0,1,0,0,0,0,0,0
Acidobacteria;Blastocatellia;NA;;NA;,44,10,10,21,116,1,0,3,0,0,0,223,0,0,0,139,0,43,0,21,0,0,0,0,0,0,0,0,452,0,22,0,0,0,121,40,0,116,0,4,0,2,0,0,15,0,2,0,5,0,85,0,20,0,0,39,0
Acidobacteria;Blastocatellia;NA;NA;Chloracidobacterium;Chloracidobacterium sp. enrichment culture clone JAC25,23,31,0,35,9,0,33,0,0,0,0,34,7,0,0,723,0,125,14,23,14,0,0,33,0,0,0,11,387,0,134,0,0,54,104,19,30,154,100,0,0,107,0,0,0,2,0,123,0,0,16,0,8,0,0,22,0
Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;Acanthopleuribacter pedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix;,0,0,0,0,0,0,92,0,50,51,136,27,1,37,0,0,6,0,10,5,0,26,115,0,0,25,94,39,11,0,8,0,88,36,2,101,0,0,0,0,4,0,0,0,21,31,0,0,8,0,14,31,9,0,50,0,0
Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix;Geothrix fermentans,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,6,0,0,0,0,38,0,0,0,0,22,0,0,0,3,0,0,0,0,0,0,0
Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;,36,60,2,129,0,55,27,183,14,16,11,56,46,39,0,39,0,12,87,127,198,3,13,70,16,0,13,18,0,8,151,0,23,2,35,14,33,47,123,25,7,34,8,0,130,12,0,16,3,6,116,21,48,61,15,30,0
Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;Holophaga sp. oral clone CA002,0,2,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,10,0,0,0,0,11,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,5,0,14,0,0,10,0,1,0,0,5,0
Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;Holophaga sp. WY42,0,9,0,12,2,4,2,2,0,0,0,0,9,4,0,0,0,0,0,0,7,0,9,0,0,0,1,0,0,0,40,0,0,0,0,0,8,20,16,122,1,7,0,38,7,0,0,15,0,0,1,0,0,0,0,6,0
Acidobacteria;Holophagae;Holophagales;Holophagaceae;NA;,0,0,0,0,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteria;NA;;NA;;,111,191,0,65,356,6,154,27,51,33,56,36,113,235,1,102,27,119,128,54,210,28,133,126,41,34,71,54,82,18,219,8,156,52,106,38,186,98,143,1235,66,154,26,62,193,155,5,1232,132,8,93,57,448,0,29,235,0
Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Thermoanaerobaculum;Thermoanaerobaculum aquaticum,0,0,0,0,0,0,67,0,21,13,24,0,0,0,0,1,17,0,0,6,0,30,9,0,0,25,13,13,0,0,4,0,8,52,0,16,0,1,13,0,0,0,46,0,0,2,19,0,4,0,60,19,0,0,39,0,0
Acidobacteria;Vicinamibacteria;NA;Vicinamibacteraceae;Luteitalea;Luteitalea pratensis,102,522,0,47,235,11,493,238,264,203,234,92,149,346,0,62,101,306,357,392,621,219,304,604,76,116,203,479,208,77,239,19,218,298,211,77,310,357,584,735,131,350,279,202,502,296,195,112,265,15,156,263,834,3,325,52,0
Acidobacteria;Vicinamibacteria;NA;Vicinamibacteraceae;NA;,16,186,39,21,81,38,114,0,124,109,117,27,169,160,1,87,46,32,103,156,117,56,139,153,34,21,72,96,155,67,296,0,139,101,36,51,188,114,272,25,36,204,129,0,95,86,23,59,278,0,168,134,197,166,99,37,0
Acidobacteria;Vicinamibacteria;NA;Vicinamibacteraceae;Vicinamibacter;Vicinamibacter silvestris,18,413,13,66,85,13,339,111,132,85,174,248,293,329,0,402,74,425,317,349,552,93,366,483,26,68,251,415,350,48,412,0,338,344,156,229,229,353,767,86,84,136,334,101,446,163,85,325,99,37,186,191,340,0,300,204,0
Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Aciditerrimonas;,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,14,5,6,6,13,17,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,15,0,8,0,0
Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;NA;,0,3,0,0,0,4,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Aquihabitans;Aquihabitans daechungensis,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,18,0,8,0,12,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,0
Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Iamia;Iamia majanohamensis,27,0,0,65,42,0,0,20,0,0,0,11,0,0,10,50,0,27,0,0,0,1,0,0,0,0,0,0,0,1,0,43,0,0,0,5,2,0,0,37,0,0,0,66,0,0,0,78,0,0,0,0,19,0,0,48,0
Actinobacteria;Acidimicrobiia;Acidimicrobiales;Microthrixaceae;Candidatus Microthrix;Candidatus Microthrix parvicella,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria;Acidimicrobiia;Acidimicrobiales;NA;;,13,0,10,41,9,25,8,25,13,14,0,27,68,41,153,45,7,12,94,21,65,19,19,48,0,10,17,32,0,0,10,17,4,14,12,5,5,47,39,8,5,0,18,0,41,14,7,93,0,19,61,50,52,208,5,61,0
Actinobacteria;Acidimicrobiia;Acidimicrobiales;NA;NA;Acidimicrobiales bacterium URHD0090,0,6,0,2,0,10,6,10,0,0,0,4,7,0,0,6,0,2,0,5,0,1,0,14,0,0,0,3,3,0,1,0,0,0,11,4,9,6,9,0,0,0,1,34,0,0,0,28,0,0,4,0,12,0,0,11,0
Actinobacteria;Acidimicrobiia;NA;;NA;,1,38,14,49,10,7,15,6,12,0,0,18,56,30,44,21,0,38,20,25,64,0,15,25,0,5,3,6,8,29,23,0,23,13,7,11,19,46,42,11,2,5,20,7,44,13,8,14,3,5,7,15,22,107,0,38,0
Actinobacteria;Acidimicrobiia;NA;NA;NA;Acidimicrobidae bacterium Ellin7143,0,9,0,6,0,0,5,0,0,2,0,1,10,3,0,0,1,5,26,5,4,1,7,18,0,0,1,8,0,5,0,0,6,16,6,0,19,5,38,0,6,0,0,0,6,9,1,5,12,0,16,6,12,0,0,0,0
Actinobacteria;Acidimicrobiia;NA;NA;NA;Acidimicrobidae bacterium YM18-244,0,7,0,0,47,0,0,0,0,0,0,0,41,8,4,0,0,0,0,2,4,0,0,10,0,0,0,0,0,0,2,31,0,11,8,4,8,0,10,205,0,0,6,12,0,0,0,0,0,0,3,0,6,0,0,0,0
Actinobacteria;Acidimicrobiia;NA;NA;NA;Acidimicrobiia bacterium,0,0,0,20,0,4,6,0,0,1,0,20,17,0,1,0,4,4,11,6,27,0,9,46,0,0,0,11,0,0,39,0,8,20,45,0,4,26,38,3,0,0,3,0,0,0,0,37,0,0,14,0,41,496,2,11,0
Actinobacteria;Actinobacteria;Acidothermales;Acidothermaceae;Acidothermus;Acidothermus cellulolyticus,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. A2,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Actinomycetales;NA;;Actinomycetales bacterium,133,0,0,0,32,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Actinomycetales;NA;NA;Actinomycetales bacterium 1M83,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,0,0,39,0,0,0,0,0,0,0,12,0,0,0,5,0,1,0,0,9,0,0,0,0,2,0,0,0,0
Actinobacteria;Actinobacteria;Actinomycetales;NA;NA;Actinomycetales bacterium Gsoil 1632,15,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Actinomycetales;NA;NA;NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,2,0,1,0,1,0,1,7,0,5,0,2,4,0,151,1,0,1,4,86,0,2,7,0,27,26,0,0,0,0,0
Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;,0,30,0,18,9,17,28,91,27,33,32,0,51,26,0,0,4,0,26,52,26,42,34,50,12,10,37,42,0,20,0,45,35,21,22,23,6,10,10,35,27,22,40,248,0,20,3,6,0,2,10,22,28,0,40,18,0
Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium sp.,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,3,0,0,0,0,50,0
Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;NA;,17,0,0,26,30,12,10,27,1,1,0,0,0,7,14,15,0,33,0,0,0,0,0,1,1,0,1,0,1,35,1,18,0,0,0,0,20,0,15,9,0,0,1,65,1,0,0,16,0,18,0,0,16,0,0,2,0
Actinobacteria;Actinobacteria;Corynebacteriales;NA;;,16,0,0,0,0,0,1,2,7,4,0,10,3,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,42,0,0,0,0,0,0,2,0,0,0,0,0,0,8,15,0,2,0,0,0,2,0,14,4,8,3,0,0
Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;NA;,0,0,8,0,0,0,0,0,0,0,0,28,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;,0,0,0,0,0,8,0,0,0,6,0,3,0,0,0,0,0,0,0,5,6,0,1,0,5,0,1,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,151,0,1,0,0
Actinobacteria;Actinobacteria;Corynebacteriales;Segniliparaceae;Segniliparus;,0,4,0,0,0,0,0,0,0,0,5,0,8,5,0,0,0,0,0,0,0,3,0,0,0,0,7,5,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0
Actinobacteria;Actinobacteria;Cryptosporangiales;Cryptosporangiaceae;Cryptosporangium;,0,0,0,0,0,0,0,77,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Jatrophihabitans sp. I13A-01678,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;,871,9,12,17,516,72,69,987,0,0,0,15,0,0,25,281,0,50,0,22,4,0,0,8,0,0,0,0,69,104,0,932,18,19,12,28,35,9,40,590,0,38,0,1070,0,0,0,0,0,0,2,0,45,644,0,0,0
Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Geodermatophilus;,1971,82,0,15,733,40,118,480,0,0,0,0,0,3,0,59,0,0,0,25,0,0,0,0,0,0,4,0,143,620,26,72,9,55,41,48,118,38,124,416,0,138,0,136,0,0,0,0,0,0,0,0,21,63,0,0,0
Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus tzadiensis,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,24,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter;,1393,13,0,5,132,24,28,462,1,0,0,53,0,0,48,118,0,0,0,3,0,0,0,0,0,0,0,0,47,161,0,445,0,18,10,13,4,5,23,208,0,22,0,757,4,1,0,0,0,0,0,0,0,334,0,0,0
Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter;Modestobacter versicolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,16,0,0,0,0,0,24,0,0,0,0,0,0,0,27,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,18,41,0,0,171,0,0,0
Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;NA;,620,0,5,7,332,0,13,813,0,0,0,7,3,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,10,98,0,455,0,0,0,0,12,0,5,428,0,1,0,362,0,1,0,0,0,0,0,0,1,215,0,1,0
Actinobacteria;Actinobacteria;Glycomycetales;Glycomycetaceae;Glycomyces;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
