"","sum.taxonomy","K0611_M8","K0613_E4","K0616_A1","K0754_E4","K0754_L7","K0755_B2","K0755_E4","K0756_A1","K0756_B2","K0756_C3","K0756_M8","K0757_G5","K0759_L7","K0759_M8","K0760_T9","K0772_T9","K0773_K6","K0773_L7","K0774_K6","K0774_T9","K0775_B2","K0775_C3","K0775_G5","K0775_M8","K0777_L7","K0778_B2","K0779_B2","K0779_L7","K0779_M8","K0779_T9","K0780_G5","K0780_K6","K0833_B2","K0833_C3","K0833_E4","K0834_G5","K0835_K6","K0835_T9","K0836_E4","K0837_E4","K0838_C3","K0838_L7","K0838_T9","K0839_A1","K0839_L7","K0840_C3","K0613_L7","K0776_T9"
"73","Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;NA;",0,0,1,9,0,19,5,5,2,0,37,3,39,0,20,17,3,0,0,1,4,6,1,28,7,0,8,0,0,0,0,5,35,2,8,18,1,12,0,1,5,48,5,0,4,20,0,0
"74","Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;Alteromonas sp. Gp-3-7.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Archaea;Thaumarchaeota;Nitrososphaeria;NA;;NA;",0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"77","Bacteria;Acidobacteria;Blastocatellia;NA;Pyrinomonadaceae;Brevitalea;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Bacteria;Chloroflexi;Dehalococcoidia;NA;;Dehalogenimonas;",0,3,26,34,0,44,7,6,0,2,51,0,152,0,37,31,4,0,2,0,9,11,0,90,12,0,12,0,0,0,2,3,58,0,43,23,0,8,0,0,1,82,16,0,3,22,0,0
"79","Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA;alpha proteobacterium LS7-MT",0,0,0,9,0,0,0,33,0,0,18,0,11,0,0,0,0,0,24,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,15,0,10,0,10,17,4,0,0,0,0
"81","Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;NA;;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Coprinopsis;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Bacteria;Firmicutes;Bacilli;NA;;NA;",0,48,294,50,20,69,32,37,6,57,39,14,35,4,24,46,64,9,42,9,39,46,26,39,37,6,49,5,1,2,128,23,22,25,76,21,38,111,0,94,56,31,101,18,33,48,0,0
"84","Bacteria;Proteobacteria;Betaproteobacteria;NA;NA;NA;bacterium Ellin6095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;NA;",0,0,15,23,17,15,30,9,0,17,27,1,22,9,21,42,15,3,0,19,13,24,5,20,7,0,26,0,0,0,32,7,17,4,44,45,4,2,0,0,3,15,16,0,15,28,0,0
"86","Archaea;Euryarchaeota;Thermoplasmata;NA;;NA;",0,0,1,1,0,1,1,0,0,0,12,0,9,0,7,3,0,0,0,0,6,2,0,8,17,0,2,0,0,0,0,0,12,0,10,11,0,0,0,0,0,12,2,0,3,5,0,0
"87","Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Gemmata;",0,16,0,8,12,6,1,16,5,3,4,23,2,0,2,3,12,10,9,0,17,8,9,3,10,1,2,0,0,0,8,5,1,7,4,2,19,34,0,19,17,1,12,10,1,1,0,0
"88","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NA;NA;Sphingobacteriales bacterium TP524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Thermomarinilinea;Thermomarinilinea lacunifontana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;NA;;",0,0,103,19,16,15,101,60,5,42,22,53,16,0,24,54,6,1,1,18,12,14,2,20,18,0,38,0,0,2,18,10,16,2,6,10,24,48,0,0,8,20,45,1,7,94,0,0
