sum.taxonomy,K0601_B2,K0601_C3,K0601_E4,K0601_G5,K0601_K6,K0601_L7,K0601_M8,K0601_T9,K0603_A1,K0603_B2,K0603_E4,K0603_G5,K0603_K6,K0603_L7,K0603_M8,K0603_T9,K0605_T9,K0607_A1,K0607_B2,K0607_C3,K0607_E4,K0607_G5,K0607_K6,K0607_L7,K0607_M8,K0607_T9,K0608_B2,K0608_E4,K0608_K6,K0608_L7,K0608_M8,K0608_T9,K0609_A1,K0609_B2,K0609_C3,K0609_E4,K0609_G5,K0609_K6,K0609_L7,K0609_M8,K0609_T9,K0612_G5,K0614_M8,K0760_B2,K0840_E4
Abditibacteriota;Abditibacteria;Abditibacteriales;Abitibacteriaceae;Abditibacterium;Abditibacterium utsteinense,2,0,0,2,0,2,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,26,27,0,0,0,0,114,0,0
Acidobacteria;Acidobacteriia;Bryobacterales;Bryobacteraceae;Bryobacter;Bryobacter aggregatus,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,9,0,0,0,1,0,0,0,0,0,0,5,0,0,0
Acidobacteria;Acidobacteriia;Bryobacterales;Bryobacteraceae;Paludibaculum;,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,5,0,0,0
Acidobacteria;Acidobacteriia;Bryobacterales;Bryobacteraceae;Paludibaculum;Paludibaculum fermentans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,25,0,0,0
Acidobacteria;Acidobacteriia;Bryobacterales;Bryobacteraceae;Paludibaculum;Paludibaculum sp.,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,3,0,0,0
Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;Candidatus Solibacter;Candidatus Solibacter usitatus,5,1,0,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,17,0,6,9,0,23,0,0,0,0,0,0,4,0,3,0,7,0,0,0,0,10,0,0,0
Acidobacteria;Acidobacteriia;Bryobacterales;unknown;;,0,0,0,0,0,3,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,13,37,6,0,0,0,0,0,0,17,0,0,0,0,36,0,0
Acidobacteria;Acidobacteriia;unknown;unknown;NA;,71,9,10,6,0,23,16,0,32,38,1,168,49,22,3,27,31,0,18,4,25,23,70,171,95,4,68,33,16,12,115,0,29,24,71,22,49,56,71,52,4,36,44,11,0
Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae;NA;,10,0,1,0,0,87,0,0,0,0,0,0,9,29,0,0,0,0,0,7,42,28,0,16,0,12,0,0,0,30,0,4,7,0,3,3,8,29,0,0,20,0,186,0,0
Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;Stenotrophobacter terrae,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,19,0,0,0,7,0,0,0,0,6,0,0,28,0,0,0
Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,9,80,0,0,0,0,75,9,0
Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,16,0,0,11,0,0,0
Acidobacteria;Blastocatellia;Blastocatellales;unknown;;,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,55,0,0,20,0,26,0,0,0,3,0,0,0,0,0,0,0,0,0,0,47,10,0,0,0
Acidobacteria;Blastocatellia;unknown;unknown;Chloracidobacterium;Chloracidobacterium sp. enrichment culture clone JAC25,176,0,0,0,0,192,0,0,0,0,11,6,0,229,0,0,0,0,0,0,32,0,0,58,0,16,0,0,0,0,0,0,0,0,21,0,3,0,205,0,9,76,15,1,0
Acidobacteria;Blastocatellia;unknown;unknown;NA;,5,5,0,0,0,7,0,0,0,0,8,0,0,3,0,0,0,0,0,2,9,0,1,1,187,0,1,0,0,18,0,6,3,0,26,4,2,14,0,0,26,13,43,0,0
Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix;,0,0,3,0,0,0,1,0,0,1,0,0,321,0,0,0,21,0,0,23,0,2,21,3,0,0,42,5,2,0,70,0,6,2,13,0,0,0,0,43,0,0,0,15,0
Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix;Geothrix fermentans,0,0,0,0,0,0,0,0,0,54,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;,0,0,0,0,0,13,0,0,9,1,11,0,0,5,0,0,5,0,0,1,40,1,10,0,182,0,3,1,0,29,0,0,1,0,3,0,11,44,0,0,16,18,0,33,0
Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Thermoanaerobaculum;Thermoanaerobaculum aquaticum,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,20,0,15,13,6,23,38,15,0,0,9,22,17,0,15,0,20,0,6,15,0,0,0,0,0,25,0,0,0
Acidobacteria;unknown;unknown;unknown;;,303,12,0,8,21,422,30,0,17,5,20,0,37,198,7,24,3,0,26,46,38,10,38,49,1,89,5,29,13,134,28,1,41,1,34,33,67,101,27,45,128,118,125,52,2
Acidobacteria;Vicinamibacteria;unknown;Vicinamibacteraceae;Luteitalea;Luteitalea pratensis,110,25,0,0,3,121,51,0,12,68,97,0,4,12,0,39,127,0,174,59,139,159,135,84,0,95,42,198,174,102,17,7,93,29,113,58,111,90,88,28,63,125,1,440,0
Acidobacteria;Vicinamibacteria;unknown;Vicinamibacteraceae;NA;,175,44,0,0,15,72,64,0,14,58,39,6,12,20,0,14,64,0,44,30,198,145,137,30,179,71,66,173,113,102,100,34,90,56,102,42,61,14,110,14,55,291,25,321,4
Acidobacteria;Vicinamibacteria;unknown;Vicinamibacteraceae;Vicinamibacter;Vicinamibacter silvestris,96,80,0,0,5,115,42,0,93,91,27,0,11,95,0,16,16,0,103,34,137,149,182,34,2,29,24,84,118,40,41,0,78,81,176,61,43,37,89,29,67,188,0,120,1
Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Iamia;Iamia majanohamensis,0,0,0,0,4,0,0,12,0,0,38,30,0,5,4,0,0,1,0,0,0,16,0,0,84,0,0,0,0,10,0,1,0,4,2,0,30,13,0,0,37,0,5,0,0
Actinobacteria;Acidimicrobiia;Acidimicrobiales;unknown;;,34,34,0,0,79,18,1,0,13,0,0,13,0,84,34,2,1,23,3,0,4,1,6,0,11,6,24,0,0,0,27,0,2,19,38,3,2,0,52,1,6,18,0,1,0
Actinobacteria;Acidimicrobiia;Acidimicrobiales;unknown;NA;Acidimicrobiales bacterium URHD0090,7,0,0,15,17,14,0,0,0,0,0,6,0,22,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,4,3,2,5,0,0,0,0,0,2,1,0,0,1
Actinobacteria;Acidimicrobiia;unknown;unknown;NA;,8,0,0,0,13,3,6,0,13,2,11,5,0,57,0,8,0,0,13,0,39,0,28,8,115,15,0,16,0,3,0,19,4,20,2,0,16,4,48,1,25,25,5,23,4
Actinobacteria;Acidimicrobiia;unknown;unknown;NA;Acidimicrobidae bacterium Ellin7143,10,1,0,0,3,19,3,0,7,0,0,0,0,5,0,0,0,0,1,0,21,1,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,6,5,5,52,0,0,0
Actinobacteria;Acidimicrobiia;unknown;unknown;NA;Acidimicrobidae bacterium YM18-244,22,0,0,0,0,9,0,0,0,0,0,8,0,7,0,0,0,0,0,0,47,12,0,0,0,8,0,0,0,0,0,0,3,0,1,5,0,0,0,0,0,11,0,0,0
Actinobacteria;Acidimicrobiia;unknown;unknown;NA;Acidimicrobiia bacterium,16,0,0,0,0,25,3,0,0,0,13,0,0,25,0,0,0,0,0,0,26,0,0,0,0,17,0,0,0,0,0,0,7,6,0,2,9,20,21,0,26,37,0,23,16
Actinobacteria;Actinobacteria;Acidothermales;Acidothermaceae;Acidothermus;Acidothermus cellulolyticus,12,0,5,0,0,16,8,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,4,0,0,0,12,0,0,7,0,0,2,0,0,0,0,6,0
Actinobacteria;Actinobacteria;Actinomycetales;unknown;;Actinomycetales bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Actinobacteria;Actinobacteria;Actinomycetales;unknown;NA;Actinomycetales bacterium Gsoil 1621,0,0,26,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,7,6,0,1,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0
Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium sp. KCC 83 PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;NA;,9,27,2,1,31,0,4,0,8,28,42,6,7,3,4,46,13,3,0,3,0,24,16,0,0,0,72,31,42,8,11,0,29,21,32,0,95,13,11,18,0,24,6,0,8
Actinobacteria;Actinobacteria;Corynebacteriales;unknown;;,0,8,0,6,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,17,0,0,215,0,3,12,33,12,0,7,4,5,8,0,4,2,0,0,0,0,2,2,0
Actinobacteria;Actinobacteria;Frankiales;Motilibacteraceae;Motilibacter;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Frankiales;unknown;NA;Frankiales bacterium YIM 75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,10,0,0
Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;,0,0,0,120,18,0,0,0,0,0,6,5,0,0,261,266,0,324,0,0,6,0,0,0,0,6,0,0,0,691,0,39,0,0,0,0,266,361,0,0,6,3,976,0,1
Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Geodermatophilus;,0,0,10,31,0,18,0,2,0,0,10,8,5,0,22,71,0,16,0,0,11,0,0,11,0,40,0,0,0,1232,6,14,0,5,0,0,207,495,0,6,15,32,1051,0,0
Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter;,0,0,0,149,0,0,0,0,0,0,11,0,0,0,98,64,0,141,0,8,0,0,0,0,0,0,0,0,0,438,0,7,0,0,0,0,145,135,0,0,0,4,827,0,0
Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter;Modestobacter versicolor,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,30,0,0,20,36,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;NA;,3,0,0,85,0,3,0,0,0,0,0,4,0,0,110,156,0,99,0,0,0,0,0,2,1,1,0,0,0,523,0,10,0,0,0,0,263,303,0,0,1,5,350,0,1
Actinobacteria;Actinobacteria;Glycomycetales;Glycomycetaceae;Glycomyces;,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Jiangellales;Jiangellaceae;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,27,0,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia;Kineosporia sp. I13A-00002,7,0,0,17,0,4,0,0,0,0,0,0,0,0,24,0,0,13,0,0,10,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,0,0
Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;NA;,0,25,0,76,0,0,0,0,0,20,0,0,0,0,3,30,0,34,0,0,0,0,0,0,0,59,0,28,65,99,0,0,0,0,5,13,25,26,28,6,0,0,123,11,0
Actinobacteria;Actinobacteria;Micrococcales;Bogoriellaceae;Georgenia;,0,0,0,244,0,0,0,0,0,0,10,0,0,0,593,391,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,61,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;,0,0,1,0,0,0,0,0,2,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;,0,0,0,222,0,0,0,0,0,0,0,0,0,0,223,136,0,134,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,299,826,0,0,0,9,944,0,0
Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas sp. LZB056,0,0,0,136,0,0,0,0,0,0,0,0,0,0,265,122,0,46,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,41,77,0,0,0,0,45,0,0
Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;NA;,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0
Actinobacteria;Actinobacteria;Micrococcales;Demequinaceae;NA;,0,0,0,0,53,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;NA;,0,27,0,0,23,11,0,0,24,0,56,14,0,0,0,0,0,0,0,0,0,0,0,7,0,16,0,0,0,25,0,0,2,26,2,0,0,0,0,0,0,0,0,0,19
Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;,0,0,0,0,6,0,0,0,0,0,28,1,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,25,0,0,2,29,0,0,0
Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium;,0,0,0,59,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;,0,0,0,0,3,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,6,0,0,0
Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;NA;,0,10,32,240,167,0,0,2,16,0,56,14,0,0,367,108,0,82,0,0,0,0,0,0,0,1,0,0,0,396,0,53,0,32,4,0,490,250,3,6,13,23,521,0,0
Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;,0,0,0,148,0,0,0,0,0,0,24,0,0,0,277,10,0,48,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,251,444,0,0,0,0,358,0,0
Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;,0,0,20,1844,0,0,0,0,0,0,20,0,0,0,3515,934,0,3197,0,0,0,0,0,0,0,0,0,0,0,362,0,59,0,0,5,0,383,760,0,0,0,0,285,0,13
Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;NA;,0,0,0,46,0,0,0,0,0,0,263,0,0,0,105,3,0,29,0,1,6,0,0,0,0,0,0,0,0,311,0,11,0,0,0,0,529,939,0,0,5,0,36,0,8
Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Nesterenkonia;,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,120,0,0,0,0,0,0,5,0,9,0,0,0,0
Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;Isoptericola;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,19,0,0,0,0,0,0,0,16,0,0,0,0,24,0,4
Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;Promicromonospora;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Micrococcales;unknown;;,4,58,22,158,81,3,17,0,0,10,53,63,18,85,211,82,0,148,9,5,0,4,8,13,85,106,1,5,0,5,33,2,38,35,8,2,38,43,0,0,30,54,5,0,23
Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;,55,0,0,0,50,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,25,0,0,0,0,19,0,0,0,3,0,7,0,0,0,0,32,10,41,0,0,4,8,0,0
Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;,10,0,0,3,44,0,0,0,10,23,1,0,0,0,17,9,0,0,0,0,0,7,0,0,0,17,3,1,8,32,9,1,0,0,0,0,20,42,0,18,0,0,46,0,0
Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;Micromonospora sp. I12A-02659,0,0,0,7,0,0,0,0,0,0,0,0,0,0,20,49,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,12,34,5,0,0,0,81,0,0
Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;Micromonospora sp. PC1053,0,0,0,0,21,0,0,0,0,0,0,0,0,14,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,30,0,0,0,0
Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;NA;,1,69,0,11,3,0,0,0,1,2,59,65,1,9,0,2,1,0,8,1,3,7,13,0,0,472,7,0,3,21,0,1,28,0,5,0,20,0,38,0,5,0,30,0,69
Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Spirilliplanes;Spirilliplanes yamanashiensis,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,14,0,0,0,25,0,0
Actinobacteria;Actinobacteria;Nakamurellales;Nakamurellaceae;Nakamurella;,1,0,0,0,29,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,27,17,0,0,0,0,10,0,0
Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,25,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola;Marmoricola sp. UNPA182,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;NA;,0,9,0,49,0,0,0,0,8,0,0,0,0,0,47,28,0,9,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,83,186,0,0,0,0,89,0,0
Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;,0,21,0,10,6,17,0,0,12,0,0,0,0,10,123,18,0,8,0,8,9,0,0,0,0,56,0,0,0,182,0,4,0,38,4,7,85,192,3,0,0,5,58,0,0
Actinobacteria;Actinobacteria;Propionibacteriales;unknown;;,11,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,14,0,0,5,1,1,0,0
Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinomycetospora;,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91,0,0,0,0,17,0,0,0,0,0,0,0,0,32,0,0,0,0,6,0,32,41,0,0,0,0,29,0,0
Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Lentzea;Lentzea albida,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,33,0,0,0,0,0,0,0,0,0,13,0,20,0,0,0,0,0,0,0,0,0,0
Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;,27,159,0,6,0,0,0,0,28,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,30,0,70,212,0,22,3,9,0,11,0,0,0,0
Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;,0,6,0,10,0,7,0,0,7,0,3,0,3,9,0,7,0,0,0,0,1,0,0,0,51,6,0,0,0,45,0,0,0,4,0,1,62,60,0,0,4,10,31,0,0
Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora;,0,0,0,0,0,0,0,0,0,0,175,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,8,0,0,0
Actinobacteria;Actinobacteria;Sporichthyales;Sporichthyaceae;NA;,8,29,0,0,11,0,17,0,14,17,0,0,10,3,0,0,0,0,5,3,0,29,16,4,0,11,7,2,8,0,0,0,7,41,8,0,0,0,8,3,0,0,0,0,0
Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;,12,27,0,12,21,9,0,0,18,1,14,23,0,23,0,16,0,0,5,0,8,0,0,85,0,0,12,0,5,27,14,6,2,11,16,0,231,90,1,2,5,120,17,1,0
